"id","img","text","type"
"250","http://i1.douguo.net//upload/shicai/1446108092.jpg","鸡蛋","蛋及其制品"
"251","http://i1.douguo.net//upload/shicai/1446027692.jpg","鸭蛋","蛋及其制品"
"252","http://i1.douguo.net//upload/shicai/1446099035.jpg","鹌鹑蛋","蛋及其制品"
"253","http://i1.douguo.net//upload/shicai/1446026388.jpg","皮蛋","蛋及其制品"
"254","http://i1.douguo.net//upload/shicai/1446108996.jpg","卤蛋","蛋及其制品"
"255","http://i1.douguo.net//upload/shicai/1446101492.jpg","鹅蛋","蛋及其制品"
"256","http://i1.douguo.net/upload/baike/123/zeh_cc.jpg","咸蛋黄","蛋及其制品"
"257","http://i1.douguo.net/upload/baike/114/zci_cc.jpg","蛋清","蛋及其制品"
"258","http://i1.douguo.net/upload/baike/110/zca_cc.jpg","鸡蛋液","蛋及其制品"
"259",,,"蛋及其制品"
"260","http://i1.douguo.net//upload/shicai/1446026312.jpg","牛至","香辛料"
"261","http://i1.douguo.net//upload/shicai/1446107652.jpg","茴香","香辛料"
"262","http://i1.douguo.net//upload/shicai/1446113787.jpg","罗勒","香辛料"
"263","http://i1.douguo.net//upload/shicai/1446100262.jpg","薄荷","香辛料"
"264","http://i1.douguo.net//upload/shicai/1446108320.jpg","姜","香辛料"
"265","http://i1.douguo.net//upload/shicai/1446108636.jpg","咖喱粉","香辛料"
"266","http://i1.douguo.net//upload/shicai/1446108394.jpg","芥末","香辛料"
"267","http://i1.douguo.net//upload/shicai/1446114052.jpg","迷迭香","香辛料"
"268","http://i1.douguo.net/upload/baike/46/ciik_ea.jpg","胡椒粉","香辛料"
"269","http://i1.douguo.net/upload/baike/49/eiz_i.jpg","蒜","香辛料"
"270",,,"香辛料"
"271","http://i1.douguo.net//upload/shicai/1446108781.jpg","老干妈","酱"
"272","http://i1.douguo.net//upload/shicai/1446102076.jpg","海鲜酱","酱"
"273","http://i1.douguo.net//upload/shicai/1446026296.jpg","牛肉酱","酱"
"274","http://i1.douguo.net//upload/shicai/1446107277.jpg","花生酱","酱"
"275",,,"酱"
"276","http://i1.douguo.net//upload/shicai/1446520046.jpg","橄榄油","油"
"277","http://i1.douguo.net//upload/shicai/1468812685.jpg","菜籽油","油"
"278","http://i1.douguo.net/upload/baike/160/chka_cz.jpg","色拉油","油"
"279","http://i1.douguo.net//upload/shicai/1468210758.jpg","油","油"
"280","http://i1.douguo.net/upload/baike/162/chke_cz.jpg","玉米油","油"
"281","http://i1.douguo.net/upload/baike/178/cozop_ea.jpg","香油","油"
"282","http://i1.douguo.net/upload/baike/189/ejhpz_ea.jpg","蚝油","油"
"283",,,"油"
"284","http://i1.douguo.net//upload/shicai/1446520025.jpg","白砂糖","糖"
"285","http://i1.douguo.net/upload/baike/108/chap_cp.jpg","绵白糖","糖"
"286","http://i1.douguo.net//upload/shicai/1446520078.jpg","红糖","糖"
"287","http://i1.douguo.net/upload/shicai/1321338757.jpg","糖粉","糖"
"288","http://i1.douguo.net/upload/baike/107/chao_cp.jpg","细砂糖","糖"
"289",,,"糖"
